"1;""1"";""2014-09-04 20:30:00"";""SEA"";NULL;""GB"";NULL;""0"""
"2;""1"";""2014-09-07 13:00:00"";""ATL"";NULL;""NO"";NULL;""0"""
"3;""1"";""2014-09-07 13:00:00"";""STL"";NULL;""MIN"";NULL;""0"""
"4;""1"";""2014-09-07 13:00:00"";""PIT"";NULL;""CLE"";NULL;""0"""
"5;""1"";""2014-09-07 13:00:00"";""PHI"";NULL;""JAX"";NULL;""0"""
"6;""1"";""2014-09-07 13:00:00"";""NYJ"";NULL;""OAK"";NULL;""0"""
"7;""1"";""2014-09-07 13:00:00"";""BAL"";NULL;""CIN"";NULL;""0"""
"8;""1"";""2014-09-07 13:00:00"";""CHI"";NULL;""BUF"";NULL;""0"""
"9;""1"";""2014-09-07 13:00:00"";""HOU"";NULL;""WAS"";NULL;""0"""
"10;""1"";""2014-09-07 13:00:00"";""KC"";NULL;""TEN"";NULL;""0"""
"11;""1"";""2014-09-07 13:00:00"";""MIA"";NULL;""NE"";NULL;""0"""
"12;""1"";""2014-09-07 16:25:00"";""TB"";NULL;""CAR"";NULL;""0"""
"13;""1"";""2014-09-07 16:25:00"";""DAL"";NULL;""SF"";NULL;""0"""
"14;""1"";""2014-09-07 20:30:00"";""DEN"";NULL;""IND"";NULL;""0"""
"15;""1"";""2014-09-08 19:10:00"";""DET"";NULL;""NYG"";NULL;""0"""
"16;""1"";""2014-09-08 22:20:00"";""ARI"";NULL;""SD"";NULL;""0"""
"17;""2"";""2014-09-11 20:25:00"";""BAL"";NULL;""PIT"";NULL;""0"""
"18;""2"";""2014-09-14 13:00:00"";""BUF"";NULL;""MIA"";NULL;""0"""
"19;""2"";""2014-09-14 13:00:00"";""WAS"";NULL;""JAX"";NULL;""0"""
"20;""2"";""2014-09-14 13:00:00"";""TEN"";NULL;""DAL"";NULL;""0"""
"21;""2"";""2014-09-14 13:00:00"";""NYG"";NULL;""ARI"";NULL;""0"""
"22;""2"";""2014-09-14 13:00:00"";""MIN"";NULL;""NE"";NULL;""0"""
"23;""2"";""2014-09-14 13:00:00"";""CLE"";NULL;""NO"";NULL;""0"""
"24;""2"";""2014-09-14 13:00:00"";""CIN"";NULL;""ATL"";NULL;""0"""
"25;""2"";""2014-09-14 13:00:00"";""CAR"";NULL;""DET"";NULL;""0"""
"26;""2"";""2014-09-14 16:05:00"";""TB"";NULL;""STL"";NULL;""0"""
"27;""2"";""2014-09-14 16:05:00"";""SD"";NULL;""SEA"";NULL;""0"""
"28;""2"";""2014-09-14 16:25:00"";""OAK"";NULL;""HOU"";NULL;""0"""
"29;""2"";""2014-09-14 16:25:00"";""GB"";NULL;""NYJ"";NULL;""0"""
"30;""2"";""2014-09-14 16:25:00"";""DEN"";NULL;""KC"";NULL;""0"""
"31;""2"";""2014-09-14 20:30:00"";""SF"";NULL;""CHI"";NULL;""0"""
"32;""2"";""2014-09-15 20:30:00"";""IND"";NULL;""PHI"";NULL;""0"""
"33;""3"";""2014-09-18 20:25:00"";""ATL"";NULL;""TB"";NULL;""0"""
"34;""3"";""2014-09-21 13:00:00"";""BUF"";NULL;""SD"";NULL;""0"""
"35;""3"";""2014-09-21 13:00:00"";""STL"";NULL;""DAL"";NULL;""0"""
"36;""3"";""2014-09-21 13:00:00"";""PHI"";NULL;""WAS"";NULL;""0"""
"37;""3"";""2014-09-21 13:00:00"";""NYG"";NULL;""HOU"";NULL;""0"""
"38;""3"";""2014-09-21 13:00:00"";""NO"";NULL;""MIN"";NULL;""0"""
"39;""3"";""2014-09-21 13:00:00"";""CIN"";NULL;""TEN"";NULL;""0"""
"40;""3"";""2014-09-21 13:00:00"";""CLE"";NULL;""BAL"";NULL;""0"""
"41;""3"";""2014-09-21 13:00:00"";""DET"";NULL;""GB"";NULL;""0"""
"42;""3"";""2014-09-21 13:00:00"";""JAX"";NULL;""IND"";NULL;""0"""
"43;""3"";""2014-09-21 13:00:00"";""NE"";NULL;""OAK"";NULL;""0"""
"44;""3"";""2014-09-21 16:05:00"";""ARI"";NULL;""SF"";NULL;""0"""
"45;""3"";""2014-09-21 16:25:00"";""SEA"";NULL;""DEN"";NULL;""0"""
"46;""3"";""2014-09-21 16:25:00"";""MIA"";NULL;""KC"";NULL;""0"""
"47;""3"";""2014-09-21 20:30:00"";""CAR"";NULL;""PIT"";NULL;""0"""
"48;""3"";""2014-09-22 20:30:00"";""NYJ"";NULL;""CHI"";NULL;""0"""
"49;""4"";""2014-09-25 20:25:00"";""WAS"";NULL;""NYG"";NULL;""0"""
"50;""4"";""2014-09-28 13:00:00"";""CHI"";NULL;""GB"";NULL;""0"""
"51;""4"";""2014-09-28 13:00:00"";""HOU"";NULL;""BUF"";NULL;""0"""
"52;""4"";""2014-09-28 13:00:00"";""IND"";NULL;""TEN"";NULL;""0"""
"53;""4"";""2014-09-28 13:00:00"";""BAL"";NULL;""CAR"";NULL;""0"""
"54;""4"";""2014-09-28 13:00:00"";""NYJ"";NULL;""DET"";NULL;""0"""
"55;""4"";""2014-09-28 13:00:00"";""PIT"";NULL;""TB"";NULL;""0"""
"56;""4"";""2014-09-28 13:00:00"";""OAK"";NULL;""MIA"";NULL;""0"""
"57;""4"";""2014-09-28 16:05:00"";""SD"";NULL;""JAX"";NULL;""0"""
"58;""4"";""2014-09-28 16:25:00"";""SF"";NULL;""PHI"";NULL;""0"""
"59;""4"";""2014-09-28 16:25:00"";""MIN"";NULL;""ATL"";NULL;""0"""
"60;""4"";""2014-09-28 20:30:00"";""DAL"";NULL;""NO"";NULL;""0"""
"61;""4"";""2014-09-29 20:30:00"";""KC"";NULL;""NE"";NULL;""0"""
"62;""5"";""2014-10-02 20:25:00"";""GB"";NULL;""MIN"";NULL;""0"""
"63;""5"";""2014-09-05 13:00:00"";""CAR"";NULL;""CHI"";NULL;""0"""
"64;""5"";""2014-10-05 13:00:00"";""TEN"";NULL;""CLE"";NULL;""0"""
"65;""5"";""2014-10-05 13:00:00"";""PHI"";NULL;""STL"";NULL;""0"""
"66;""5"";""2014-10-05 13:00:00"";""NYG"";NULL;""ATL"";NULL;""0"""
"67;""5"";""2014-10-05 13:00:00"";""NO"";NULL;""TB"";NULL;""0"""
"68;""5"";""2014-10-05 13:00:00"";""DAL"";NULL;""HOU"";NULL;""0"""
"69;""5"";""2014-10-05 13:00:00"";""DET"";NULL;""BUF"";NULL;""0"""
"70;""5"";""2014-10-05 13:00:00"";""IND"";NULL;""BAL"";NULL;""0"""
"71;""5"";""2014-10-05 13:00:00"";""JAX"";NULL;""PIT"";NULL;""0"""
"72;""5"";""2014-10-05 16:05:00"";""DEN"";NULL;""ARI"";NULL;""0"""
"73;""5"";""2014-10-05 16:25:00"";""SF"";NULL;""KC"";NULL;""0"""
"74;""5"";""2014-10-05 16:25:00"";""SD"";NULL;""NYJ"";NULL;""0"""
"75;""5"";""2014-10-05 20:30:00"";""NE"";NULL;""CIN"";NULL;""0"""
"76;""5"";""2014-10-06 20:30:00"";""WAS"";NULL;""SEA"";NULL;""0"""
"77;""6"";""2014-10-09 20:25:00"";""HOU"";NULL;""IND"";NULL;""0"""
"78;""6"";""2014-10-12 13:00:00"";""ATL"";NULL;""CHI"";NULL;""0"""
"79;""6"";""2014-10-12 13:00:00"";""TEN"";NULL;""JAX"";NULL;""0"""
"80;""6"";""2014-10-12 13:00:00"";""TB"";NULL;""BAL"";NULL;""0"""
"81;""6"";""2014-10-12 13:00:00"";""NYJ"";NULL;""DEN"";NULL;""0"""
"82;""6"";""2014-10-12 13:00:00"";""MIN"";NULL;""DET"";NULL;""0"""
"83;""6"";""2014-10-12 13:00:00"";""BUF"";NULL;""NE"";NULL;""0"""
"84;""6"";""2014-10-12 13:00:00"";""CIN"";NULL;""CAR"";NULL;""0"""
"85;""6"";""2014-10-12 13:00:00"";""CLE"";NULL;""PIT"";NULL;""0"""
"86;""6"";""2014-10-12 13:00:00"";""MIA"";NULL;""GB"";NULL;""0"""
"87;""6"";""2014-10-12 16:05:00"";""OAK"";NULL;""SD"";NULL;""0"""
"88;""6"";""2014-10-12 16:25:00"";""SEA"";NULL;""DAL"";NULL;""0"""
"89;""6"";""2014-10-12 16:25:00"";""ARI"";NULL;""WAS"";NULL;""0"""
"90;""6"";""2014-10-12 20:30:00"";""PHI"";NULL;""NYG"";NULL;""0"""
"91;""6"";""2014-10-13 20:30:00"";""STL"";NULL;""SF"";NULL;""0"""
"92;""7"";""2014-10-16 20:25:00"";""NE"";NULL;""NYJ"";NULL;""0"""
"93;""7"";""2014-10-19 13:00:00"";""BAL"";NULL;""ATL"";NULL;""0"""
"94;""7"";""2014-10-19 13:00:00"";""WAS"";NULL;""TEN"";NULL;""0"""
"95;""7"";""2014-10-19 13:00:00"";""STL"";NULL;""SEA"";NULL;""0"""
"96;""7"";""2014-10-19 13:00:00"";""JAX"";NULL;""CLE"";NULL;""0"""
"97;""7"";""2014-10-19 13:00:00"";""IND"";NULL;""CIN"";NULL;""0"""
"98;""7"";""2014-10-19 13:00:00"";""BUF"";NULL;""MIN"";NULL;""0"""
"99;""7"";""2014-10-19 13:00:00"";""CHI"";NULL;""MIA"";NULL;""0"""
"100;""7"";""2014-10-19 13:00:00"";""DET"";NULL;""NO"";NULL;""0"""
"101;""7"";""2014-10-19 13:00:00"";""GB"";NULL;""CAR"";NULL;""0"""
"102;""7"";""2014-10-19 16:05:00"";""SD"";NULL;""KC"";NULL;""0"""
"103;""7"";""2014-10-19 16:25:00"";""OAK"";NULL;""ARI"";NULL;""0"""
"104;""7"";""2014-10-19 16:25:00"";""DAL"";NULL;""NYG"";NULL;""0"""
"105;""7"";""2014-10-19 20:30:00"";""DEN"";NULL;""SF"";NULL;""0"""
"106;""7"";""2014-10-20 20:30:00"";""PIT"";NULL;""HOU"";NULL;""0"""
"107;""8"";""2014-10-23 20:25:00"";""DEN"";NULL;""SD"";NULL;""0"""
"108;""8"";""2014-10-26 09:30:00"";""ATL"";NULL;""DET"";NULL;""0"""
"109;""8"";""2014-10-26 13:00:00"";""KC"";NULL;""STL"";NULL;""0"""
"110;""8"";""2014-10-26 13:00:00"";""TEN"";NULL;""HOU"";NULL;""0"""
"111;""8"";""2014-10-26 13:00:00"";""TB"";NULL;""MIN"";NULL;""0"""
"112;""8"";""2014-10-26 13:00:00"";""CAR"";NULL;""SEA"";NULL;""0"""
"113;""8"";""2014-10-26 13:00:00"";""CIN"";NULL;""BAL"";NULL;""0"""
"114;""8"";""2014-10-26 13:00:00"";""JAX"";NULL;""MIA"";NULL;""0"""
"115;""8"";""2014-10-26 13:00:00"";""NE"";NULL;""CHI"";NULL;""0"""
"116;""8"";""2014-10-26 13:00:00"";""NYJ"";NULL;""BUF"";NULL;""0"""
"117;""8"";""2014-10-26 16:05:00"";""ARI"";NULL;""PHI"";NULL;""0"""
"118;""8"";""2014-10-26 16:25:00"";""CLE"";NULL;""OAK"";NULL;""0"""
"119;""8"";""2014-10-26 16:25:00"";""PIT"";NULL;""IND"";NULL;""0"""
"120;""8"";""2014-10-26 20:30:00"";""NO"";NULL;""GB"";NULL;""0"""
"121;""8"";""2014-10-27 20:30:00"";""DAL"";NULL;""WAS"";NULL;""0"""
"122;""9"";""2014-10-30 20:25:00"";""CAR"";NULL;""NO"";NULL;""0"""
"123;""9"";""2014-11-02 13:00:00"";""CLE"";NULL;""TB"";NULL;""0"""
"124;""9"";""2014-11-02 13:00:00"";""DAL"";NULL;""ARI"";NULL;""0"""
"125;""9"";""2014-11-02 13:00:00"";""HOU"";NULL;""PHI"";NULL;""0"""
"126;""9"";""2014-11-02 13:00:00"";""KC"";NULL;""NYJ"";NULL;""0"""
"127;""9"";""2014-11-02 13:00:00"";""CIN"";NULL;""JAX"";NULL;""0"""
"128;""9"";""2014-11-02 13:00:00"";""MIA"";NULL;""SD"";NULL;""0"""
"129;""9"";""2014-11-02 13:00:00"";""MIN"";NULL;""WAS"";NULL;""0"""
"130;""9"";""2014-11-02 16:05:00"";""SF"";NULL;""STL"";NULL;""0"""
"131;""9"";""2014-11-02 16:25:00"";""NE"";NULL;""DEN"";NULL;""0"""
"132;""9"";""2014-11-02 16:25:00"";""SEA"";NULL;""OAK"";NULL;""0"""
"133;""9"";""2014-11-02 20:30:00"";""PIT"";NULL;""BAL"";NULL;""0"""
"134;""9"";""2014-11-03 20:30:00"";""NYG"";NULL;""IND"";NULL;""0"""
"135;""10"";""2014-11-06 20:25:00"";""CIN"";NULL;""CLE"";NULL;""0"""
"136;""10"";""2014-11-09 13:00:00"";""BUF"";NULL;""KC"";NULL;""0"""
"137;""10"";""2014-11-09 13:00:00"";""DET"";NULL;""MIA"";NULL;""0"""
"138;""10"";""2014-11-09 13:00:00"";""JAX"";NULL;""DAL"";NULL;""0"""
"139;""10"";""2014-11-09 13:00:00"";""NO"";NULL;""SF"";NULL;""0"""
"140;""10"";""2014-11-09 13:00:00"";""BAL"";NULL;""TEN"";NULL;""0"""
"141;""10"";""2014-11-09 13:00:00"";""NYJ"";NULL;""PIT"";NULL;""0"""
"142;""10"";""2014-11-09 13:00:00"";""TB"";NULL;""ATL"";NULL;""0"""
"143;""10"";""2014-11-09 16:05:00"";""OAK"";NULL;""DEN"";NULL;""0"""
"144;""10"";""2014-11-09 16:25:00"";""ARI"";NULL;""STL"";NULL;""0"""
"145;""10"";""2014-11-09 16:25:00"";""SEA"";NULL;""NYG"";NULL;""0"""
"146;""10"";""2014-11-09 20:30:00"";""GB"";NULL;""CHI"";NULL;""0"""
"147;""10"";""2014-11-10 20:30:00"";""PHI"";NULL;""CAR"";NULL;""0"""
"148;""11"";""2014-11-13 20:25:00"";""MIA"";NULL;""BUF"";NULL;""0"""
"149;""11"";""2014-11-16 13:00:00"";""CHI"";NULL;""MIN"";NULL;""0"""
"150;""11"";""2014-11-16 13:00:00"";""CLE"";NULL;""HOU"";NULL;""0"""
"151;""11"";""2014-11-16 13:00:00"";""GB"";NULL;""PHI"";NULL;""0"""
"152;""11"";""2014-11-16 13:00:00"";""KC"";NULL;""SEA"";NULL;""0"""
"153;""11"";""2014-11-16 13:00:00"";""CAR"";NULL;""ATL"";NULL;""0"""
"154;""11"";""2014-11-16 13:00:00"";""NO"";NULL;""CIN"";NULL;""0"""
"155;""11"";""2014-11-16 13:00:00"";""WAS"";NULL;""TB"";NULL;""0"""
"156;""11"";""2014-11-16 13:00:00"";""STL"";NULL;""DEN"";NULL;""0"""
"157;""11"";""2014-11-16 13:00:00"";""NYG"";NULL;""SF"";NULL;""0"""
"158;""11"";""2014-11-16 16:05:00"";""SD"";NULL;""OAK"";NULL;""0"""
"159;""11"";""2014-11-16 16:25:00"";""ARI"";NULL;""DET"";NULL;""0"""
"160;""11"";""2014-11-16 20:30:00"";""IND"";NULL;""NE"";NULL;""0"""
"161;""11"";""2014-11-17 20:30:00"";""TEN"";NULL;""PIT"";NULL;""0"""
"162;""12"";""2014-11-20 20:25:00"";""OAK"";NULL;""KC"";NULL;""0"""
"163;""12"";""2014-11-23 13:00:00"";""ATL"";NULL;""CLE"";NULL;""0"""
"164;""12"";""2014-11-23 13:00:00"";""PHI"";NULL;""TEN"";NULL;""0"""
"165;""12"";""2014-11-23 13:00:00"";""NE"";NULL;""DET"";NULL;""0"""
"166;""12"";""2014-11-23 13:00:00"";""MIN"";NULL;""GB"";NULL;""0"""
"167;""12"";""2014-11-23 13:00:00"";""IND"";NULL;""JAX"";NULL;""0"""
"168;""12"";""2014-11-23 13:00:00"";""HOU"";NULL;""CIN"";NULL;""0"""
"169;""12"";""2014-11-23 13:00:00"";""BUF"";NULL;""NYJ"";NULL;""0"""
"170;""12"";""2014-11-23 13:00:00"";""CHI"";NULL;""TB"";NULL;""0"""
"171;""12"";""2014-11-23 16:05:00"";""SEA"";NULL;""ARI"";NULL;""0"""
"172;""12"";""2014-11-23 16:05:00"";""SD"";NULL;""STL"";NULL;""0"""
"173;""12"";""2014-11-23 16:25:00"";""DEN"";NULL;""MIA"";NULL;""0"""
"174;""12"";""2014-11-23 16:25:00"";""SF"";NULL;""WAS"";NULL;""0"""
"175;""12"";""2014-11-23 20:30:00"";""NYG"";NULL;""DAL"";NULL;""0"""
"176;""12"";""2014-11-24 20:30:00"";""NO"";NULL;""BAL"";NULL;""0"""
"177;""13"";""2014-11-27 12:30:00"";""DET"";NULL;""CHI"";NULL;""0"""
"178;""13"";""2014-11-27 16:30:00"";""DAL"";NULL;""PHI"";NULL;""0"""
"179;""13"";""2014-11-27 20:30:00"";""SF"";NULL;""SEA"";NULL;""0"""
"180;""13"";""2014-11-30 13:00:00"";""IND"";NULL;""WAS"";NULL;""0"""
"181;""13"";""2014-11-30 13:00:00"";""HOU"";NULL;""TEN"";NULL;""0"""
"182;""13"";""2014-11-30 13:00:00"";""BUF"";NULL;""CLE"";NULL;""0"""
"183;""13"";""2014-11-30 13:00:00"";""BAL"";NULL;""SD"";NULL;""0"""
"184;""13"";""2014-11-30 13:00:00"";""JAX"";NULL;""NYG"";NULL;""0"""
"185;""13"";""2014-11-30 13:00:00"";""TB"";NULL;""CIN"";NULL;""0"""
"186;""13"";""2014-11-30 13:00:00"";""STL"";NULL;""OAK"";NULL;""0"""
"187;""13"";""2014-11-30 13:00:00"";""PIT"";NULL;""NO"";NULL;""0"""
"188;""13"";""2014-11-30 13:00:00"";""MIN"";NULL;""CAR"";NULL;""0"""
"189;""13"";""2014-11-30 16:05:00"";""ATL"";NULL;""ARI"";NULL;""0"""
"190;""13"";""2014-11-30 16:25:00"";""GB"";NULL;""NE"";NULL;""0"""
"191;""13"";""2014-11-30 20:30:00"";""KC"";NULL;""DEN"";NULL;""0"""
"192;""13"";""2014-12-01 20:30:00"";""NYJ"";NULL;""MIA"";NULL;""0"""
"193;""14"";""2014-12-04 13:00:00"";""CHI"";NULL;""DAL"";NULL;""0"""
"194;""14"";""2014-12-07 13:00:00"";""CIN"";NULL;""PIT"";NULL;""0"""
"195;""14"";""2014-12-07 13:00:00"";""WAS"";NULL;""STL"";NULL;""0"""
"196;""14"";""2014-12-07 13:00:00"";""TEN"";NULL;""NYG"";NULL;""0"""
"197;""14"";""2014-12-07 13:00:00"";""NO"";NULL;""CAR"";NULL;""0"""
"198;""14"";""2014-12-07 13:00:00"";""MIN"";NULL;""NYJ"";NULL;""0"""
"199;""14"";""2014-12-07 13:00:00"";""MIA"";NULL;""BAL"";NULL;""0"""
"200;""14"";""2014-12-07 13:00:00"";""CLE"";NULL;""IND"";NULL;""0"""
"201;""14"";""2014-12-07 13:00:00"";""DET"";NULL;""TB"";NULL;""0"""
"202;""14"";""2014-12-07 13:00:00"";""JAX"";NULL;""HOU"";NULL;""0"""
"203;""14"";""2014-12-07 16:05:00"";""DEN"";NULL;""BUF"";NULL;""0"""
"204;""14"";""2014-12-07 16:05:00"";""ARI"";NULL;""KC"";NULL;""0"""
"205;""14"";""2014-12-07 16:25:00"";""PHI"";NULL;""SEA"";NULL;""0"""
"206;""14"";""2014-12-07 16:25:00"";""OAK"";NULL;""SF"";NULL;""0"""
"207;""14"";""2014-12-07 20:30:00"";""SD"";NULL;""NE"";NULL;""0"""
"208;""14"";""2014-12-08 20:30:00"";""GB"";NULL;""ATL"";NULL;""0"""
"209;""15"";""2014-12-11 20:25:00"";""STL"";NULL;""ARI"";NULL;""0"""
"210;""15"";""2014-12-14 13:00:00"";""ATL"";NULL;""PIT"";NULL;""0"""
"211;""15"";""2014-12-14 13:00:00"";""NYG"";NULL;""WAS"";NULL;""0"""
"212;""15"";""2014-12-14 13:00:00"";""NE"";NULL;""MIA"";NULL;""0"""
"213;""15"";""2014-12-14 13:00:00"";""KC"";NULL;""OAK"";NULL;""0"""
"214;""15"";""2014-12-14 13:00:00"";""IND"";NULL;""HOU"";NULL;""0"""
"215;""15"";""2014-12-14 13:00:00"";""BAL"";NULL;""JAX"";NULL;""0"""
"216;""15"";""2014-12-14 13:00:00"";""BUF"";NULL;""GB"";NULL;""0"""
"217;""15"";""2014-12-14 13:00:00"";""CAR"";NULL;""TB"";NULL;""0"""
"218;""15"";""2014-12-14 13:00:00"";""CLE"";NULL;""CIN"";NULL;""0"""
"219;""15"";""2014-12-14 13:00:00"";""DET"";NULL;""MIN"";NULL;""0"""
"220;""15"";""2014-12-14 16:05:00"";""TEN"";NULL;""NYJ"";NULL;""0"""
"221;""15"";""2014-12-14 16:05:00"";""SD"";NULL;""DEN"";NULL;""0"""
"222;""15"";""2014-12-14 16:25:00"";""SEA"";NULL;""SF"";NULL;""0"""
"223;""15"";""2014-12-14 20:30:00"";""PHI"";NULL;""DAL"";NULL;""0"""
"224;""15"";""2014-12-15 13:00:00"";""CHI"";NULL;""NO"";NULL;""0"""
"225;""16"";""2014-12-18 20:25:00"";""JAX"";NULL;""TEN"";NULL;""0"""
"226;""16"";""2014-12-20 16:30:00"";""SF"";NULL;""SD"";NULL;""0"""
"227;""16"";""2014-12-20 16:30:00"";""WAS"";NULL;""PHI"";NULL;""0"""
"228;""16"";""2014-12-21 13:00:00"";""MIA"";NULL;""MIN"";NULL;""0"""
"229;""16"";""2014-12-21 13:00:00"";""HOU"";NULL;""BAL"";NULL;""0"""
"230;""16"";""2014-12-21 13:00:00"";""CHI"";NULL;""DET"";NULL;""0"""
"231;""16"";""2014-12-21 13:00:00"";""CAR"";NULL;""CLE"";NULL;""0"""
"232;""16"";""2014-12-21 13:00:00"";""NO"";NULL;""ATL"";NULL;""0"""
"233;""16"";""2014-12-21 13:00:00"";""TB"";NULL;""GB"";NULL;""0"""
"234;""16"";""2014-12-21 13:00:00"";""PIT"";NULL;""KC"";NULL;""0"""
"235;""16"";""2014-12-21 13:00:00"";""NYJ"";NULL;""NE"";NULL;""0"""
"236;""16"";""2014-12-21 16:05:00"";""STL"";NULL;""NYG"";NULL;""0"""
"237;""16"";""2014-12-21 16:25:00"";""OAK"";NULL;""BUF"";NULL;""0"""
"238;""16"";""2014-12-21 16:25:00"";""DAL"";NULL;""IND"";NULL;""0"""
"239;""16"";""2014-12-21 20:30:00"";""ARI"";NULL;""SEA"";NULL;""0"""
"240;""16"";""2014-12-22 20:30:00"";""CIN"";NULL;""DEN"";NULL;""0"""
"241;""17"";""2014-12-28 13:00:00"";""ATL"";NULL;""CAR"";NULL;""0"""
"242;""17"";""2014-12-28 13:00:00"";""BAL"";NULL;""CLE"";NULL;""0"""
"243;""17"";""2014-12-28 13:00:00"";""WAS"";NULL;""DAL"";NULL;""0"""
"244;""17"";""2014-12-28 13:00:00"";""TEN"";NULL;""IND"";NULL;""0"""
"245;""17"";""2014-12-28 13:00:00"";""GB"";NULL;""DET"";NULL;""0"""
"246;""17"";""2014-12-28 13:00:00"";""HOU"";NULL;""JAX"";NULL;""0"""
"247;""17"";""2014-12-28 13:00:00"";""KC"";NULL;""SD"";NULL;""0"""
"248;""17"";""2014-12-28 13:00:00"";""MIA"";NULL;""NYJ"";NULL;""0"""
"249;""17"";""2014-12-28 13:00:00"";""MIN"";NULL;""CHI"";NULL;""0"""
"250;""17"";""2014-12-28 13:00:00"";""NE"";NULL;""BUF"";NULL;""0"""
"251;""17"";""2014-12-28 13:00:00"";""NYG"";NULL;""PHI"";NULL;""0"""
"252;""17"";""2014-12-28 13:00:00"";""PIT"";NULL;""CIN"";NULL;""0"""
"253;""17"";""2014-12-28 13:00:00"";""TB"";NULL;""NO"";NULL;""0"""
"254;""17"";""2014-12-28 16:25:00"";""DEN"";NULL;""OAK"";NULL;""0"""
"255;""17"";""2014-12-28 16:25:00"";""SF"";NULL;""ARI"";NULL;""0"""
"256;""17"";""2014-12-28 16:25:00"";""SEA"";NULL;""STL"";NULL;""0"""
